"","Country_Standard","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY"
"56","Finland",4,1,3.25806451612903,1.75,1.45454545454545,0.92,2.39,1.99,2.01,10
"57","Fiji",3,3.5,3.35714285714286,4.375,2.54545454545455,0.48,0.12,1.33,0.06,6.1
"58","France",5,1,3.80645161290323,3.125,3.54545454545455,1,1.45,1.33,1.67,9
"59","Gabon",3,4.5,2.37037037037037,2.25,1.27272727272727,0.46,-0.55,-0.27,-0.45,-4
"60","United Kingdom of Great Britain and Northern Ireland",4,1,3.83333333333333,3,4.18181818181818,1,1.97,1.81,2.03,10
"61","Georgia",3,4,2.39130434782609,3.125,2.81818181818182,0.56,-1.03,-1.17,-0.77,5.8
"62","Ghana",6,2.5,2.8,2.625,3,0.73,-0.4,-0.15,0.01,2.9
"63","Guinea",4,5.5,2.71428571428571,2.375,2.18181818181818,0.61,-0.58,-0.75,-0.78,-0.8
"64","Gambia",5,4,2.51724137931034,3.25,3.27272727272727,0.73,-0.83,-0.5,-0.81,-5.2
"65","Guinea-Bissau",2,4.5,2.83333333333333,3,2.27272727272727,0.5,-0.61,-1,-1.35,4.2
"66","Equatorial Guinea",4,6.5,2.72727272727273,2.75,1.45454545454545,0.51,-1.89,0.79,-1.37,-5
"67","Greece",5,1.5,3.7741935483871,3.25,3.09090909090909,0.85,0.58,0.79,0.79,10
"68","Grenada",2,1.5,2.29411764705882,4.42857142857143,4.375,0.32,0.71,-0.84,0.38,2.77006369426752
"69","Guatemala",4,4,3.44827586206897,2.5,4,0.71,-0.71,-0.84,-0.61,7.5
"70","Guyana",4,2,2.14814814814815,2.625,1.36363636363636,0.49,-0.5,-0.43,-0.32,6
"71","Hong Kong Special Administrative Region of China",4,3.5,2.77777777777778,3.5,3.14285714285714,0,1.52,-0.79,1.44,2.77006369426752
"72","Honduras",3,3,2.7037037037037,2.875,2.81818181818182,0.43,-0.78,-0.79,-0.73,7.4
"73","Croatia",4,2,3.73333333333333,2.125,3.66666666666667,0.69,0.23,0.11,0.19,0.6
"74","Haiti",3,6,3.03571428571429,3.75,4.54545454545455,0.45,-1.7,-1.76,-1.56,1.4
"75","Hungary",4,1.5,3.84615384615385,3.125,3.6,0.75,0.6,0.9,0.78,10
"76","Indonesia",4,3.5,3.06451612903226,3.25,3.54545454545455,0.7,-1.16,-0.8,-0.56,-0.2
"77","India",6,2.5,3.78571428571429,2.875,5,0.82,-0.25,0.07,-0.13,9.8
"78","Ireland",5,1,3.2258064516129,2.75,3.45454545454545,0.94,1.67,1.72,1.62,10
"79","Iran (Islamic Republic of)",4,6,3.23333333333333,2.625,3.18181818181818,0.81,-0.38,-0.58,-0.46,0.4
"80","Iraq",7,7,3.53846153846154,2.625,3.8,0,-1.43,-1.7,-1.64,-9
"81","Iceland",7,1,2.93333333333333,3.125,2.81818181818182,0.64,2.19,2,1.98,2.77006369426752
